[ , , , , , , , , , ]
[ , , , ,o,o, , , , ]
[ , , , ,o,o, , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , , ,o,o, , , , ]
[ , , , ,o,o, , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , , ,o,o, , , , ]
[ , , , ,o,o, , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , , ,o,o, , , , ]
[ , , , ,o,o, , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , ,i,i,i,i, , , ]
[ , , , , , , , , , ]
[ , , , , , , , , , ]


[ , , , , ,i, , , , ]
[ , , , , ,i, , , , ]
[ , , , , ,i, , , , ]
[ , , , , ,i, , , , ]


[ , , , , , , , , , ]
[ , , , , , , , , , ]
[ , , ,i,i,i,i, , , ]
[ , , , , , , , , , ]


[ , , , ,i, , , , , ]
[ , , , ,i, , , , , ]
[ , , , ,i, , , , , ]
[ , , , ,i, , , , , ]


[ , , , ,t, , , , , ]
[ , , ,t,t,t, , , , ]
[ , , , , , , , , , ]
[ , , , , , , , , , ]


[ , , , ,t, , , , , ]
[ , , , ,t,t, , , , ]
[ , , , ,t, , , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , ,t,t,t, , , , ]
[ , , , ,t, , , , , ]
[ , , , , , , , , , ]


[ , , , ,t, , , , , ]
[ , , ,t,t, , , , , ]
[ , , , ,t, , , , , ]
[ , , , , , , , , , ]


[ , , , ,s,s, , , , ]
[ , , ,s,s, , , , , ]
[ , , , , , , , , , ]
[ , , , , , , , , , ]


[ , , , ,s, , , , , ]
[ , , , ,s,s, , , , ]
[ , , , , ,s, , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , , ,s,s, , , , ]
[ , , ,s,s, , , , , ]
[ , , , , , , , , , ]


[ , , ,s, , , , , , ]
[ , , ,s,s, , , , , ]
[ , , , ,s, , , , , ]
[ , , , , , , , , , ]


[ , , ,z,z, , , , , ]
[ , , , ,z,z, , , , ]
[ , , , , , , , , , ]
[ , , , , , , , , , ]


[ , , , , ,z, , , , ]
[ , , , ,z,z, , , , ]
[ , , , ,z, , , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , ,z,z, , , , , ]
[ , , , ,z,z, , , , ]
[ , , , , , , , , , ]


[ , , , ,z, , , , , ]
[ , , ,z,z, , , , , ]
[ , , ,z, , , , , , ]
[ , , , , , , , , , ]


[ , , ,j, , , , , , ]
[ , , ,j,j,j, , , , ]
[ , , , , , , , , , ]
[ , , , , , , , , , ]


[ , , , ,j,j, , , , ]
[ , , , ,j, , , , , ]
[ , , , ,j, , , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , ,j,j,j, , , , ]
[ , , , , ,j, , , , ]
[ , , , , , , , , , ]


[ , , , ,j, , , , , ]
[ , , , ,j, , , , , ]
[ , , ,j,j, , , , , ]
[ , , , , , , , , , ]



[ , , , , ,l, , , , ]
[ , , ,l,l,l, , , , ]
[ , , , , , , , , , ]
[ , , , , , , , , , ]


[ , , , ,l, , , , , ]
[ , , , ,l, , , , , ]
[ , , , ,l,l, , , , ]
[ , , , , , , , , , ]


[ , , , , , , , , , ]
[ , , ,l,l,l, , , , ]
[ , , ,l, , , , , , ]
[ , , , , , , , , , ]


[ , , ,l,l, , , , , ]
[ , , , ,l, , , , , ]
[ , , , ,l, , , , , ]
[ , , , , , , , , , ]
